aalib 1.4rc5-14
abseil-cpp 20220623.1-1
accountsservice 22.08.8-2
acl 2.3.1-2
acpica 20220331-1
acpilight 1.2-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-card-profiles 1:0.3.59-2
alsa-lib 1.2.7.2-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
amdvlk 2022.Q3.5-1
ani-cli 3.4-1
aom 3.5.0-1
archlinux-keyring 20220927-1
arduino 1:1.8.19-2
arduino-avr-core 1.8.3-1
arduino-builder 1.6.1-2
arduino-ctags 5.8_arduino11-4
argon2 20190702-4
arpack 3.8.0-3
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audit 3.0.8-1
augeas 1.13.0-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
avr-binutils 2.39-1
avr-gcc 12.2.0-1
avr-gdb 12.1-1
avr-libc 2.1.0-1
avrdude 1:7.0-2
axel 2.17.11-1
babl 0.1.96-1
baka-mplayer 2.0.4-4
baobab 42.0-1
base 3-1
bash 5.1.016-1
bash-completion 2.11-3
bc 1.07.1-4
bcg729 1.1.1-1
bear 3.0.20-2
betterlockscreen 4.0.4-1
bfg 1.14.0-1
biber 1:2.17-2
binutils 2.39-3
bison 3.8.2-4
blueman 2.3.2-1
bluez 5.65-3
bluez-libs 5.65-3
bluez-tools 0.2.0-5
bluez-utils 5.65-3
boost 1.80.0-2
boost-libs 1.80.0-2
botan 2.19.2-1
box2d 2.4.1-1
bridge-utils 1.7.1-1
brotli 1.0.9-8
btrfs-progs 6.0-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.83-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
catatonit 0.1.7-2
cblas 3.10.1-1
ccid 1.5.0-1
cdparanoia 10.2-8
chafa 1.12.3-1
cheese 41.1-2
chromaprint 1.5.1-4
clang 14.0.6-3
clisp 2.49.93-6
clucene 2.3.3.4-12
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.24.2-1
cogl 1.22.8-2
compiler-rt 14.0.6-1
confuse 3.3-3
conmon 1:2.1.4-1
containerd 1.6.8-1
containers-common 1:0.49.1-2
coreutils 9.1-1
cpio 2.13-2
criterion 2.4.1-1
criu 3.17.1-1
crun 1.6-1
cryptsetup 2.5.0-1
cups 1:2.4.2-3
cups-filters 1.28.16-2
curl 7.85.0-2
cython 0.29.32-2
dash 0.5.11.5-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.4-1
dbus-glib 0.112-2
dconf 0.40.0-1
ddcutil 1.3.0-1
debootstrap 1.0.127-2
debuginfod 0.187-2
deezer-enhanced 0.3.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-2
dhcpcd 9.4.1-1
dialog 1:1.3_20220728-1
diffutils 3.8-1
discord 0.0.20-1
dmenu 5.2-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.87-1
dnssec-anchors 20190629-3
docker 1:20.10.18-1
docker-compose 2.11.2-1
dosfstools 4.2-2
double-conversion 3.2.1-1
dtc 1.6.1-4
duktape 2.7.0-4
dunst 1.9.0-1
e2fsprogs 1.46.5-4
edid-decode-git r621.8a8d673-1
edk2-ovmf 202208-1
efibootmgr 18-1
efivar 38-2
electron 20.0.3-2
elfutils 0.187-2
enchant 2.3.3-1
etcher-bin 1.7.9-1
exa 0.10.1-6
exercism-bin 3.0.13-2
exfatprogs 1.1.3-1
exiv2 0.27.5-3
exo 4.16.4-1
expat 2.4.9-1
f2fs-tools 1.15.0-2
faac 1.30-3
faad2 2.10.0-1
fakeroot 1.29-1
fastfetch 1.7.5-1
feh 3.9.1-2
ffcall 2.4-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
fftw 3.3.10-3
file 5.43-1
filesystem 2021.12.07-1
findutils 4.9.0-1
fingerprint-gui 1.09-7
firefox 105.0.3-1
flac 1.4.1-2
flameshot 12.1.0-1
flex 2.6.4-3
fluidsynth 2.3.0-2
fmt 9.1.0-1
fontconfig 2:2.14.0-1
foomatic-db 3:20221004-1
foomatic-db-engine 4:20220521-1
foomatic-db-gutenprint-ppds 5.3.4-1
foomatic-db-nonfree 3:20221004-1
foomatic-db-nonfree-ppds 3:20221004-1
foomatic-db-ppds 3:20221004-1
freeglut 3.4.0-1
freetype2 2.12.1-1
frei0r-plugins 1.8.0-2
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
gavl 1.4.0-6
gawk 5.2.0-3
gc 8.2.2-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-2
gd 2.3.3-4
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
gegl 0.4.38-1
gettext 0.21.1-1
ghostscript 10.0.0-1
giflib 5.2.1-2
gimp 2.10.32-2
git 2.38.0-1
glew 2.2.0-5
glib-networking 1:2.74.0-1
glib2 2.74.0-2
glibc 2.36-6
glibmm 2.66.5-1
glpk 5.0-1
glslang 11.11.0-1
glu 9.0.2-3
glxinfo 8.4.0-1
gmp 6.2.1-2
gnome-backgrounds 42.0-1
gnome-desktop 1:42.4-1
gnome-desktop-common 1:42.4-1
gnome-keyring 1:42.1-1
gnome-ssh-askpass3 8.6p1-1
gnome-video-effects 0.5.0+4+g9554041-2
gnu-free-fonts 20120503-8
gnupg 2.2.39-1
gnutls 3.7.8-1
gobject-introspection-runtime 1.74.0-1
gperftools 2.10-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gprof2dot 2021.2.21-1
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphicsmagick 1.3.38-5
graphite 1:1.3.14-2
graphviz 6.0.1-1
grep 3.8-2
groff 1.22.4-7
grpc 1.48.0-1
grub 2:2.06.r334.g340377470-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gspell 1.12.0-1
gssdp 1.4.0.1-1
gst-plugins-bad 1.20.4-1
gst-plugins-bad-libs 1.20.4-1
gst-plugins-base 1.20.4-1
gst-plugins-base-libs 1.20.4-1
gst-plugins-good 1.20.4-1
gstreamer 1.20.4-1
gtk-update-icon-cache 1:4.8.1-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-2
gtk3 1:3.24.34+r156+g812b3930d0-1
gtk4 1:4.8.1-1
gtkmm3 3.24.7-1
gtksourceview4 4.8.3-1
gtop 1.1.3-1
gts 0.7.6.121130-2
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gvfs 1.50.2-1
gzip 1.12-1
harfbuzz 5.3.0-1
harfbuzz-icu 5.3.0-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highway 1.0.1-1
hivex 1.3.21-7
htop 3.2.1-1
http-parser 2.9.4-1
hugo 0.104.3-1
hunspell 1.7.1-1
hunspell-en_us 2020.12.07-4
hw-probe 1.6.5-1
hwdata 0.363-1
hwinfo 22.1-1
hwloc 2.8.0-1
hyphen 2.8.8-4
i2c-tools 4.3-3
i3-gaps 4.21-1
i3blocks 1.5-3
i3lock-color 2.13.c.4-1
i3status 2.14-1
iana-etc 20220915-1
icu 71.1-1
igraph 0.10.1-1
ijs 0.35-4
imagemagick 7.1.0.50-1
imath 3.1.5-3
imlib2 1.9.1-2
iniparser 4.1-4
inkscape 1.2.1-8
insomnia-bin 2022.6.0-1
inxi 3.3.22.1-1
iproute2 6.0.0-1
iptables-nft 1:1.8.8-2
iputils 20211215-1
iso-codes 4.11.0-2
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 18.0.2.1.u0-1
jetbrains-toolbox 1.26.2.13244-1
jfsutils 1.1.15-8
jre-openjdk 18.0.2.1.u0-1
jre-openjdk-headless 18.0.2.1.u0-1
jre8-openjdk 8.345.u01-1
jre8-openjdk-headless 8.345.u01-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
julia 2:1.8.2-1
kbd 2.5.1-1
keepassxc 2.7.1-1
keyutils 1.6.3-1
kguiaddons 5.99.0-1
kitty 0.26.3-1
kitty-shell-integration 0.26.3-1
kitty-terminfo 0.26.3-1
kmod 30-1
krb5 1.20-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
lapce 0.2.0-1
lcms2 2.13.1-1
ldns 1.8.3-1
lensfun 1:0.3.3-1
less 1:608-1
lib2geom 1.2-2
lib32-alsa-lib 1.2.7.2-1
lib32-amdvlk 2022.Q3.5-1
lib32-brotli 1.0.9-4
lib32-e2fsprogs 1.46.5-1
lib32-gcc-libs 12.2.0-1
lib32-glib2 2.74.0-2
lib32-glibc 2.36-6
lib32-icu 71.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20-1
lib32-libffi 3.4.2-4
lib32-libidn2 2.3.3-1
lib32-libldap 2.6.3-1
lib32-libpsl 0.21.1-2
lib32-libssh2 1.10.0-1
lib32-libtasn1 4.19.0-1
lib32-libunistring 1.0-1
lib32-libxcrypt 4.4.28-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-ncurses 6.3-1
lib32-openssl 1:1.1.1.q-1
lib32-p11-kit 0.24.1-1
lib32-pcre2 10.40-3
lib32-util-linux 2.38.1-1
lib32-vulkan-icd-loader 1.3.226-1
lib32-zlib 1.2.12-1
lib32-zstd 1.5.2-1
libabw 0.1.3-3
libadwaita 1:1.2.0-1
libaio 0.3.113-1
libappindicator-gtk3 12.10.0.r296-2
libarchive 3.6.1-2
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libatomic_ops 7.6.14-1
libavc1394 0.5.4-4
libavif 0.10.1-2
libavtp 0.2.0-1
libb2 0.98.1-2
libblastrampoline 5.1.1-1
libblockdev 2.28-1
libbluray 1.3.3-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.6-2
libburn 1.5.4-1
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcacard 2.7.0-2
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.66-1
libcap-ng 0.8.3-1
libcbor 0.9.0-1
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-4
libcheese 41.1-2
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libconfig 1.7.3-1
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-2
libdrm 2.4.113-3
libdv 1.0.0-9
libdvdnav 6.1.1-1
